ID_Pas,Codi_Pas,M2_Pas,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Longitud,Latitud,X_ETRS89,Y_ETRS89,Data_Alta,Data_Baixa
7829036,255000000_Pastilla,15.06,,,,,2.1327082,41.3595959,427456.936,4579039.698,2000/01/01,
9331357,255128000_Taco,6.50,,,,,2.2024588,41.4206606,433353.556,4585762.961,2000/01/01,2018/04/30
9331437,255000000_Pastilla,3.51,,,,,2.1781554,41.4315125,431334.050,4586986.683,2019/01/23,
8374055,255000000_Pastilla,11.67,,,,,2.2094293,41.4253389,433940.784,4586276.955,2000/01/01,
9331383,255128000_Taco,6.50,,,,,2.2024110,41.4206971,433349.594,4585767.010,2000/01/01,2018/04/30
8002094,255000000_Pastilla,11.84,,,,,2.1781476,41.4666728,431370.475,4590890.172,2000/01/01,
8374049,255000000_Pastilla,12.14,,,,,2.2088982,41.4257970,433896.870,4586328.298,2000/01/01,
8002272,255000000_Pastilla,35.65,,,,,2.1748084,41.4639033,431088.691,4590585.344,2000/01/01,
8374039,255000000_Pastilla,14.39,,,,,2.2091689,41.4257550,433919.448,4586323.359,2000/01/01,
8374033,255000000_Pastilla,7.98,,,,,2.2096736,41.4262250,433962.090,4586375.220,2000/01/01,
8374027,255000000_Pastilla,10.44,,,,,2.2095231,41.4263862,433949.685,4586393.232,2000/01/01,
8374021,255000000_Pastilla,11.36,,,,,2.2082594,41.4269900,433844.702,4586461.195,2000/01/01,
9331232,000000255_Ciclista,2.81,,,,,2.1831405,41.4405252,431760.007,4587983.384,2017/08/26,2018/09/13
9331292,255000000_Pastilla,21.57,,,,,2.1561512,41.4277680,429491.510,4586588.726,2019/02/12,
8002296,255128000_Taco,3.26,,,,,2.1782819,41.4663138,431381.303,4590850.279,2000/01/01,
9331304,255000000_Pastilla,15.75,,,,,2.1561655,41.4279215,429492.871,4586605.693,2019/02/12,
9330734,255000000_Pastilla,16.97,,,,,2.1429955,41.3690487,428327.780,4580080.527,2019/03/01,
9331429,255000000_Pastilla,11.12,,,,,2.1782161,41.4318524,431339.487,4587024.387,2019/01/23,
7829028,255000000_Pastilla,15.90,,,,,2.1326145,41.3596657,427449.185,4579047.510,2000/01/01,
7829016,255000000_Pastilla,28.69,,,,,2.1326799,41.3594301,427454.383,4579021.246,2000/01/01,
8002304,255000000_Pastilla,3.84,,,,,2.1778917,41.4665682,431348.995,4590878.765,2000/01/01,
8002090,255000000_Pastilla,7.96,,,,,2.1784149,41.4667299,431392.853,4590896.335,2000/01/01,
9331186,255128000_Taco,2.50,,,,,2.1833580,41.4405657,431778.219,4587987.644,2000/01/01,2018/09/11
9330722,255000000_Pastilla,23.10,,,,,2.1434396,41.3687179,428364.560,4580043.419,2019/03/01,
9331192,255128000_Taco,3.00,,,,,2.1830255,41.4405784,431750.457,4587989.380,2000/01/01,2018/09/11
9331217,255128000_Taco,1.50,,,,,2.1829852,41.4403956,431746.902,4587969.093,2018/09/12,
8151793,255000000_Pastilla,3.90,1,Ciutat Vella,1,el Raval,2.1674147,41.3805072,430382.223,4581332.770,2000/01/01,2018/03/21
8162026,000000255_Ciclista,4.47,1,Ciutat Vella,1,el Raval,2.1749126,41.3757295,431004.135,4580796.294,2000/01/01,
8151949,000000255_Ciclista,1.31,1,Ciutat Vella,1,el Raval,2.1674659,41.3805673,430386.565,4581339.390,2000/01/01,2018/03/21
8156261,000000255_Ciclista,1.25,1,Ciutat Vella,1,el Raval,2.1701298,41.3778284,430606.403,4581033.218,2000/01/01,2016/08/21
8156201,000000255_Ciclista,4.02,1,Ciutat Vella,1,el Raval,2.1703444,41.3780546,430624.594,4581058.141,2000/01/01,2016/08/21
8144178,255000000_Pastilla,13.06,1,Ciutat Vella,1,el Raval,2.1656944,41.3851071,430243.297,4581844.825,2000/01/01,2018/03/19
8156163,000000255_Ciclista,2.36,1,Ciutat Vella,1,el Raval,2.1705213,41.3778728,430639.187,4581037.777,2000/01/01,
8155800,255128000_Taco,1.50,1,Ciutat Vella,1,el Raval,2.1633295,41.3787426,430038.735,4581140.120,2000/01/01,2016/08/21
8144174,255000000_Pastilla,7.51,1,Ciutat Vella,1,el Raval,2.1657806,41.3857585,430251.190,4581917.013,2000/01/01,2018/01/21
8144170,255000000_Pastilla,7.47,1,Ciutat Vella,1,el Raval,2.1658161,41.3857547,430254.163,4581916.637,2000/01/01,2018/01/21
8143938,255000000_Pastilla,4.83,1,Ciutat Vella,1,el Raval,2.1677423,41.3855806,430415.027,4581895.693,2000/01/01,2016/08/23
8143070,255000000_Pastilla,6.32,1,Ciutat Vella,1,el Raval,2.1655510,41.3845414,430230.700,4581782.110,2000/01/01,2018/01/21
8143065,255000000_Pastilla,7.44,1,Ciutat Vella,1,el Raval,2.1663682,41.3843871,430298.862,4581764.310,2000/01/01,2018/03/19
8143059,255000000_Pastilla,31.83,1,Ciutat Vella,1,el Raval,2.1668769,41.3838809,430340.852,4581707.700,2000/01/01,2018/03/19
8156120,000000255_Ciclista,4.94,1,Ciutat Vella,1,el Raval,2.1703828,41.3776966,430627.429,4581018.298,2000/01/01,2016/08/21
9063017,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1732459,41.3810062,430870.340,4581383.498,2000/01/01,2017/10/19
9063023,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1732193,41.3810385,430868.160,4581387.054,2000/01/01,2017/10/19
8171938,000000255_Ciclista,2.72,1,Ciutat Vella,1,el Raval,2.1765405,41.3732050,431137.598,4580514.795,2000/01/01,
8171884,000000255_Ciclista,5.19,1,Ciutat Vella,1,el Raval,2.1771007,41.3737120,431184.979,4580570.628,2000/01/01,2017/12/14
8151634,000000255_Ciclista,1.31,1,Ciutat Vella,1,el Raval,2.1682061,41.3794436,430447.260,4581214.039,2000/01/01,2016/08/21
9063193,255128000_Taco,2.75,1,Ciutat Vella,1,el Raval,2.1711598,41.3836382,430698.708,4581677.302,2017/10/20,
8171684,000000255_Ciclista,6.50,1,Ciutat Vella,1,el Raval,2.1768412,41.3746662,431164.287,4580676.775,2000/01/01,2017/12/14
8151611,000000255_Ciclista,1.41,1,Ciutat Vella,1,el Raval,2.1685370,41.3795739,430475.072,4581228.243,2000/01/01,2016/08/21
8172036,000000255_Ciclista,4.22,1,Ciutat Vella,1,el Raval,2.1771458,41.3739132,431188.961,4580592.883,2000/01/01,2017/12/14
9063334,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1699141,41.3854518,430596.478,4581879.674,2000/01/01,2017/10/19
9063341,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1699393,41.3854135,430598.538,4581875.433,2000/01/01,2017/10/19
9063355,255128000_Taco,3.14,1,Ciutat Vella,1,el Raval,2.1710849,41.3837429,430692.556,4581689.046,2000/01/01,2017/10/19
9063368,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1716360,41.3829792,430737.822,4581603.761,2000/01/01,2017/10/19
9063414,255128000_Taco,4.25,1,Ciutat Vella,1,el Raval,2.1723730,41.3820217,430798.424,4581496.944,2000/01/01,2017/10/19
9063423,255128000_Taco,3.75,1,Ciutat Vella,1,el Raval,2.1730078,41.3812794,430850.723,4581414.020,2000/01/01,2017/10/19
8959140,000000255_Ciclista,2.75,1,Ciutat Vella,1,el Raval,2.1680194,41.3795843,430431.808,4581229.779,2016/11/21,
8959200,000000255_Ciclista,3.25,1,Ciutat Vella,1,el Raval,2.1681592,41.3794668,430443.373,4581216.593,2016/11/21,
8171998,000000255_Ciclista,2.00,1,Ciutat Vella,1,el Raval,2.1767217,41.3732950,431152.845,4580524.623,2000/01/01,
8155803,255128000_Taco,1.50,1,Ciutat Vella,1,el Raval,2.1632992,41.3787331,430036.200,4581139.105,2000/01/01,2016/08/21
9013847,000000255_Ciclista,3.31,1,Ciutat Vella,1,el Raval,2.1701440,41.3777865,430607.555,4581028.531,2016/08/22,
