Year,Month,District Code,District Name,Neighborhood Code,Neighborhood Name,Gender,Employment Demand,Number
2017,1,1,Ciutat Vella,1,el Raval,Male,Registered Unemployed,2107
2017,1,1,Ciutat Vella,2,el Barri Gòtic,Male,Registered Unemployed,538
2017,1,1,Ciutat Vella,3,la Barceloneta,Male,Registered Unemployed,537
2017,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,Registered Unemployed,741
2017,1,2,Eixample,5,el Fort Pienc,Male,Registered Unemployed,630
2017,1,2,Eixample,6,la Sagrada Família,Male,Registered Unemployed,1032
2017,1,2,Eixample,7,la Dreta de l'Eixample,Male,Registered Unemployed,655
2017,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,Registered Unemployed,751
2017,1,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,Registered Unemployed,1128
2017,1,2,Eixample,10,Sant Antoni,Male,Registered Unemployed,847
2017,1,3,Sants-Montjuïc,11,el Poble Sec,Male,Registered Unemployed,1247
2017,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,Registered Unemployed,72
2017,1,3,Sants-Montjuïc,13,la Marina de Port,Male,Registered Unemployed,814
2017,1,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,Registered Unemployed,311
2017,1,3,Sants-Montjuïc,15,Hostafrancs,Male,Registered Unemployed,339
2017,1,3,Sants-Montjuïc,16,la Bordeta,Male,Registered Unemployed,398
2017,1,3,Sants-Montjuïc,17,Sants - Badal,Male,Registered Unemployed,422
2017,1,3,Sants-Montjuïc,18,Sants,Male,Registered Unemployed,812
2017,1,4,Les Corts,19,les Corts,Male,Registered Unemployed,839
2017,1,4,Les Corts,20,la Maternitat i Sant Ramon,Male,Registered Unemployed,417
2017,1,4,Les Corts,21,Pedralbes,Male,Registered Unemployed,103
2017,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,Registered Unemployed,42
2017,1,5,Sarrià-Sant Gervasi,23,Sarrià,Male,Registered Unemployed,221
2017,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,Male,Registered Unemployed,163
2017,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,Registered Unemployed,259
2017,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,Registered Unemployed,521
2017,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,Registered Unemployed,474
2017,1,6,Gràcia,28,Vallcarca i els Penitents,Male,Registered Unemployed,308
2017,1,6,Gràcia,29,el Coll,Male,Registered Unemployed,129
2017,1,6,Gràcia,30,la Salut,Male,Registered Unemployed,250
2017,1,6,Gràcia,31,la Vila de Gràcia,Male,Registered Unemployed,1004
